"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","300","Login with the wrong password is rejected","tests","2026-07-19","passed","2026-07-19","","test_auth","",""
"","201","Create, fetch, and delete an asset of each valid type","tests","2026-07-19","passed","2026-07-19","","test_assets","",""
"","187","Cross-org user cannot delete another org's asset by ID","tests","2026-07-19","skipped","2026-07-19","","test_tenants","",""
"","63","Return 404 for GET/PUT/DELETE on a nonexistent asset ID","tests","2026-07-19","passed","2026-07-19","","test_assets","",""
"","206","Create, fetch, and delete an asset of each valid type","tests","2026-07-19","passed","2026-07-19","","test_assets","",""
"","63","Reject asset creation with non-object tags","tests","2026-07-19","passed","2026-07-19","","test_assets","",""
"","61","Analyst role can read the report summary","tests","2026-07-19","passed","2026-07-19","","test_reports","",""
"","201","Create, fetch, and delete an asset of each valid type","tests","2026-07-19","passed","2026-07-19","","test_assets","",""
"","209","Finding moves through its status lifecycle while severity stays immutable","tests","2026-07-19","passed","2026-07-19","","test_findings","",""
"","175","Severity filter on GET /findings is case-insensitive","tests","2026-07-19","skipped","2026-07-19","","test_findings","",""
"","63","Reject creating a finding for another org's asset","tests","2026-07-19","passed","2026-07-19","","test_tenants","",""
"","69","Update an asset's name, region, cloud_account, tags, and asset_type","tests","2026-07-19","skipped","2026-07-19","","test_assets","",""
"","126","Reject invalid finding status transitions","tests","2026-07-19","skipped","2026-07-19","","test_findings","",""
"","119","Analyst role can read scan status","tests","2026-07-19","passed","2026-07-19","","test_scans","",""
"","110","Findings list respects page and limit pagination params","tests","2026-07-19","passed","2026-07-19","","test_findings","",""
"","63","Reject asset creation with an invalid asset_type","tests","2026-07-19","passed","2026-07-19","","test_assets","",""
"","64","Analyst role cannot trigger a scan","tests","2026-07-19","skipped","2026-07-19","","test_scans","",""
"","57","Analyst role cannot update an asset","tests","2026-07-19","passed","2026-07-19","","test_assets","",""
"","126","Findings are isolated between organizations","tests","2026-07-19","passed","2026-07-19","","test_tenants","",""
"","59","Report summary is scoped to the requesting org","tests","2026-07-19","passed","2026-07-19","","test_tenants","",""
"","54","Requests without an auth token are rejected across all endpoints","tests","2026-07-19","skipped","2026-07-19","","test_auth","",""
"","120","Reject creating a finding for a nonexistent asset","tests","2026-07-19","passed","2026-07-19","","test_findings","",""
"","116","Analyst role can list and fetch assets","tests","2026-07-19","passed","2026-07-19","","test_assets","",""
"","57","Return 404 when polling a nonexistent scan","tests","2026-07-19","passed","2026-07-19","","test_scans","",""
"","54","Requests without an auth token are rejected across all endpoints","tests","2026-07-19","skipped","2026-07-19","","test_auth","",""
"","272","Create, fetch, and delete an asset of each valid type","tests","2026-07-19","passed","2026-07-19","","test_assets","",""
"","427","Logout revokes the refresh token","tests","2026-07-19","passed","2026-07-19","","test_auth","",""
"","120","Filter findings by severity and asset ID","tests","2026-07-19","passed","2026-07-19","","test_findings","",""
"","112","Report summary response has the expected shape and value ranges","tests","2026-07-19","passed","2026-07-19","","test_reports","",""
"","126","Analyst role can update a finding's status","tests","2026-07-19","passed","2026-07-19","","test_findings","",""
"","62","Cross-org user cannot read another org's asset by ID","tests","2026-07-19","skipped","2026-07-19","","test_tenants","",""
"","54","Requests without an auth token are rejected across all endpoints","tests","2026-07-19","skipped","2026-07-19","","test_auth","",""
"","54","Requests without an auth token are rejected across all endpoints","tests","2026-07-19","skipped","2026-07-19","","test_auth","",""
"","109","Return 404 when updating status of a nonexistent finding","tests","2026-07-19","passed","2026-07-19","","test_findings","",""
"","70","Cross-org user cannot update another org's asset by ID","tests","2026-07-19","skipped","2026-07-19","","test_tenants","",""
"","137","Request with an invalid bearer token is rejected","tests","2026-07-19","passed","2026-07-19","","test_auth","",""
"","54","Requests without an auth token are rejected across all endpoints","tests","2026-07-19","skipped","2026-07-19","","test_auth","",""
"","65","Return 404 for GET/PUT/DELETE on a nonexistent asset ID","tests","2026-07-19","passed","2026-07-19","","test_assets","",""
