"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","267","Filter findings by status","tests","2026-07-18","passed","2026-07-18","","test_findings","",""
"","125","Request with an invalid bearer token is rejected","tests","2026-07-18","passed","2026-07-18","","test_auth","",""
"","500","Access token is rejected after logout","tests","2026-07-18","skipped","2026-07-18","","test_auth","",""
"","67","Analyst role can read the report summary","tests","2026-07-18","passed","2026-07-18","","test_reports","",""
"","128","Findings are isolated between organizations","tests","2026-07-18","passed","2026-07-18","","test_tenants","",""
"
Short health check on trigger only, not a lifecycle test
","119","Triggering a scan returns an in-progress status","tests","2026-07-18","passed","2026-07-18","","test_scans","",""
"","56","Return 404 for GET/PUT/DELETE on a nonexistent asset ID","tests","2026-07-18","passed","2026-07-18","","test_assets","",""
"","55","Login with an unknown email is rejected","tests","2026-07-18","passed","2026-07-18","","test_auth","",""
"","65","Cross-org user cannot update another org's asset by ID","tests","2026-07-18","skipped","2026-07-18","","test_tenants","",""
"","126","Analyst role can list and fetch assets","tests","2026-07-18","passed","2026-07-18","","test_assets","",""
"","128","Cross-org user cannot update another org's finding status","tests","2026-07-18","skipped","2026-07-18","","test_tenants","",""
"","122","Filter findings by severity and asset ID","tests","2026-07-18","passed","2026-07-18","","test_findings","",""
"","70","Analyst role cannot create a finding","tests","2026-07-18","skipped","2026-07-18","","test_findings","",""
"","177","Severity filter on GET /findings is case-insensitive","tests","2026-07-18","skipped","2026-07-18","","test_findings","",""
"","127","Analyst role can list findings for an asset","tests","2026-07-18","passed","2026-07-18","","test_findings","",""
"","58","Return 404 for GET/PUT/DELETE on a nonexistent asset ID","tests","2026-07-18","passed","2026-07-18","","test_assets","",""
"","62","Analyst role cannot delete an asset","tests","2026-07-18","passed","2026-07-18","","test_assets","",""
"","56","Cross-org user cannot read another org's asset by ID","tests","2026-07-18","skipped","2026-07-18","","test_tenants","",""
"","64","Update an asset's name","tests","2026-07-18","passed","2026-07-18","","test_assets","",""
"","427","Logout revokes the refresh token","tests","2026-07-18","passed","2026-07-18","","test_auth","",""
"","55","Requests without an auth token are rejected across all endpoints","tests","2026-07-18","skipped","2026-07-18","","test_auth","",""
"","55","Requests without an auth token are rejected across all endpoints","tests","2026-07-18","skipped","2026-07-18","","test_auth","",""
"","239","Asset from one org is not listed in another org's asset list","tests","2026-07-18","passed","2026-07-18","","test_tenants","",""
"","129","Analyst role cannot create an asset","tests","2026-07-18","skipped","2026-07-18","","test_assets","",""
"","191","Finding moves through its status lifecycle while severity stays immutable","tests","2026-07-18","passed","2026-07-18","","test_findings","",""
"","57","Return 404 when polling a nonexistent scan","tests","2026-07-18","passed","2026-07-18","","test_scans","",""
"","57","Reject asset creation with an invalid asset_type","tests","2026-07-18","passed","2026-07-18","","test_assets","",""
"","307","Login with valid credentials returns access and refresh tokens","tests","2026-07-18","passed","2026-07-18","","test_auth","",""
"","125","Reject deleting an asset that has open findings","tests","2026-07-18","skipped","2026-07-18","","test_assets","",""
"","183","Create, fetch, and delete an asset of each valid type","tests","2026-07-18","passed","2026-07-18","","test_assets","",""
"","110","Findings list respects page and limit pagination params","tests","2026-07-18","passed","2026-07-18","","test_findings","",""
"","127","Reject invalid finding status transitions","tests","2026-07-18","skipped","2026-07-18","","test_findings","",""
"","69","Analyst role cannot trigger a scan","tests","2026-07-18","skipped","2026-07-18","","test_scans","",""
"","123","Scan status is isolated between organizations","tests","2026-07-18","passed","2026-07-18","","test_tenants","",""
"","60","Report summary is scoped to the requesting org","tests","2026-07-18","passed","2026-07-18","","test_tenants","",""
"","54","Requests without an auth token are rejected across all endpoints","tests","2026-07-18","skipped","2026-07-18","","test_auth","",""
"","57","Reject asset creation with non-object tags","tests","2026-07-18","passed","2026-07-18","","test_assets","",""
"","54","Requests without an auth token are rejected across all endpoints","tests","2026-07-18","skipped","2026-07-18","","test_auth","",""
"","183","Create, fetch, and delete an asset of each valid type","tests","2026-07-18","passed","2026-07-18","","test_assets","",""
"","54","Requests without an auth token are rejected across all endpoints","tests","2026-07-18","skipped","2026-07-18","","test_auth","",""
"","54","Requests without an auth token are rejected across all endpoints","tests","2026-07-18","skipped","2026-07-18","","test_auth","",""
"","62","Reject creating a finding with an invalid severity","tests","2026-07-18","passed","2026-07-18","","test_findings","",""
"","299","Login with the wrong password is rejected","tests","2026-07-18","passed","2026-07-18","","test_auth","",""
