"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","49","Cross-org user cannot read another org's asset by ID","tests","2026-07-18","skipped","2026-07-18","","test_tenants","",""
"","119","Reject deleting an asset that has open findings","tests","2026-07-18","skipped","2026-07-18","","test_assets","",""
"","51","Requests without an auth token are rejected across all endpoints","tests","2026-07-18","skipped","2026-07-18","","test_auth","",""
"","119","Reject invalid finding status transitions","tests","2026-07-18","skipped","2026-07-18","","test_findings","",""
"","172","Create, fetch, and delete an asset of each valid type","tests","2026-07-18","passed","2026-07-18","","test_assets","",""
"","105","Analyst role can read scan status","tests","2026-07-18","passed","2026-07-18","","test_scans","",""
"","61","Update an asset's name","tests","2026-07-18","passed","2026-07-18","","test_assets","",""
"","224","Create, fetch, and delete an asset of each valid type","tests","2026-07-18","passed","2026-07-18","","test_assets","",""
"","51","Analyst role can read the report summary","tests","2026-07-18","passed","2026-07-18","","test_reports","",""
"","109","Findings are isolated between organizations","tests","2026-07-18","passed","2026-07-18","","test_tenants","",""
"","51","Requests without an auth token are rejected across all endpoints","tests","2026-07-18","skipped","2026-07-18","","test_auth","",""
"","111","Request with an invalid bearer token is rejected","tests","2026-07-18","passed","2026-07-18","","test_auth","",""
"","203","Asset from one org is not listed in another org's asset list","tests","2026-07-18","passed","2026-07-18","","test_tenants","",""
"","49","Requests without an auth token are rejected across all endpoints","tests","2026-07-18","skipped","2026-07-18","","test_auth","",""
"","52","Reject asset creation with an invalid asset_type","tests","2026-07-18","passed","2026-07-18","","test_assets","",""
"","56","Analyst role cannot trigger a scan","tests","2026-07-18","skipped","2026-07-18","","test_scans","",""
"","178","Finding moves through its status lifecycle while severity stays immutable","tests","2026-07-18","passed","2026-07-18","","test_findings","",""
"","50","Requests without an auth token are rejected across all endpoints","tests","2026-07-18","skipped","2026-07-18","","test_auth","",""
"","52","Reject asset creation with an invalid asset_type","tests","2026-07-18","passed","2026-07-18","","test_assets","",""
"","49","Analyst role cannot update an asset","tests","2026-07-18","passed","2026-07-18","","test_assets","",""
"","422","Refresh token can only be used once","tests","2026-07-18","skipped","2026-07-18","","test_auth","",""
"","50","Requests without an auth token are rejected across all endpoints","tests","2026-07-18","skipped","2026-07-18","","test_auth","",""
"","52","Reject asset creation with non-object tags","tests","2026-07-18","passed","2026-07-18","","test_assets","",""
"","481","Access token is rejected after logout","tests","2026-07-18","skipped","2026-07-18","","test_auth","",""
"","50","Requests without an auth token are rejected across all endpoints","tests","2026-07-18","skipped","2026-07-18","","test_auth","",""
"","414","Logout revokes the refresh token","tests","2026-07-18","passed","2026-07-18","","test_auth","",""
"","48","Analyst role cannot delete an asset","tests","2026-07-18","passed","2026-07-18","","test_assets","",""
"","53","Reject creating a finding with an invalid severity","tests","2026-07-18","passed","2026-07-18","","test_findings","",""
"","103","Return 404 when updating status of a nonexistent finding","tests","2026-07-18","passed","2026-07-18","","test_findings","",""
"","227","Filter findings by status","tests","2026-07-18","passed","2026-07-18","","test_findings","",""
"","166","Status filter on GET /findings is case-insensitive","tests","2026-07-18","skipped","2026-07-18","","test_findings","",""
"","50","Requests without an auth token are rejected across all endpoints","tests","2026-07-18","skipped","2026-07-18","","test_auth","",""
"","50","Requests without an auth token are rejected across all endpoints","tests","2026-07-18","skipped","2026-07-18","","test_auth","",""
"","107","Report summary works for an org with no findings","tests","2026-07-18","skipped","2026-07-18","","test_reports","",""
"","114","Analyst role can update a finding's status","tests","2026-07-18","passed","2026-07-18","","test_findings","",""
"","52","Return 404 for GET/PUT/DELETE on a nonexistent asset ID","tests","2026-07-18","passed","2026-07-18","","test_assets","",""
"","50","Requests without an auth token are rejected across all endpoints","tests","2026-07-18","skipped","2026-07-18","","test_auth","",""
"","50","Requests without an auth token are rejected across all endpoints","tests","2026-07-18","skipped","2026-07-18","","test_auth","",""
